Track name, Artist name, Album, Playlist name, Type, ISRC
Up,Cardi B,Up,Favorite Songs,Favorite,USAT22100061
Starts Right Here,League of Legends,Starts Right Here,Favorite Songs,Favorite,QZH6S1900309
Phoenix,League of Legends,Phoenix,Favorite Songs,Favorite,NLRD51859891
GIANTS,True Damage,GIANTS,Favorite Songs,Favorite,QZH6S1900251
KAWAII,Tatarka,GOLDEN FLOWER,Favorite Songs,Favorite,RUA582001906
Девочка и Море,polnalyubvi,Сказки лесной нимфы,Favorite Songs,Favorite,QM7282055859
Strings,TAEMIN,Advice - The 3rd Mini Album,Favorite Songs,Favorite,KRA302100173
Advice,TAEMIN,Advice - The 3rd Mini Album,Favorite Songs,Favorite,KRA302100170
Je me casse - Eurovision Official Entry,Destiny,Je me casse (Eurovision Official Entry),Favorite Songs,Favorite,MTAO82100010
Voilà,Barbara Pravi,Voilà,Favorite Songs,Favorite,FRUM72001645
The Moon Is Rising - Original,Samanta Tina,The Moon Is Rising,Favorite Songs,Favorite,LVL152101546
Tout l'univers,Gjon's Tears,Tout l'univers,Favorite Songs,Favorite,FR7S02100060
10 Years,Daði Freyr,10 Years,Favorite Songs,Favorite,GBKPL2144231
SHUM,Go_A,SHUM,Favorite Songs,Favorite,QM4TX2159313
Set Me Free,Eden Alene,Set Me Free,Favorite Songs,Favorite,IL4432100049
MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name),Favorite Songs,Favorite,USSM12100531
SUPERSTAR,SHINee,SUPERSTAR,Favorite Songs,Favorite,JPPO02101632
Not Your Baby,Cadmium,Not Your Baby,Favorite Songs,Favorite,QZFZ41925246
I WANNA BE YOUR SLAVE,Måneskin,Teatro d'ira - Vol. I,Favorite Songs,Favorite,ITB002100115
Butter,BTS,Butter,Favorite Songs,Favorite,QM6MZ2156864
Love Maze,BTS,Love Yourself 轉 'Tear',Favorite Songs,Favorite,QM4TX1817916
Psycho,Red Velvet,‘The ReVe Festival’ Finale,Favorite Songs,Favorite,KRA301900597
POM POM,LilyPichu,POM POM,Favorite Songs,Favorite,QZHN72102539
MAYDAY,TheFatRat,MAYDAY,Favorite Songs,Favorite,SEUM71800088
She's Got a Gun,KUURO,She's Got a Gun,Favorite Songs,Favorite,CA6D22000175
traitor,Olivia Rodrigo,SOUR,Favorite Songs,Favorite,USUG12101243
Caffeine Rush,Jacob Tillberg,Caffeine Rush,Favorite Songs,Favorite,TCACM1616299
